Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,User CTCSS,Tx Power,Skip,Step,Clock Shift,Comment,
63,441.80000,446.80000,-5000 kHz,Minus,FM,W3EOC,Small,Tone,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Eagle Upper Uwchlan Township",
64,441.95000,446.95000,5.00 MHz,Plus,FM,W3EOC,Small,T Sql,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Coatesville",
65,442.05000,447.05000,5.00 MHz,Plus,FM,WB2YGO,Small,Tone,118.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Willingboro",
66,442.10000,447.10000,5.00 MHz,Plus,FM,W2MMD,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Pitman",
67,442.25000,447.25000,5.00 MHz,Plus,FM,W3DI,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Newtown Square",
68,442.35000,447.35000,5.00 MHz,Plus,FM,K2UK,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Pine Hill",
69,442.40000,447.40000,5.00 MHz,Plus,FM,N3KZ,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Philadelphia",
70,442.55000,447.55000,5.00 MHz,Plus,FM,W3SBE,Small,T Sql,91.5 Hz,023,300 Hz,High,Off,5 kHz,Off,"Philadelphia Roxborough Towers",
71,442.60000,447.60000,5.00 MHz,Plus,FM,WA3NNA,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Newtown Square",
72,442.75000,447.75000,5.00 MHz,Plus,FM,KI3I,Small,Tone,141.3 Hz,023,300 Hz,High,Off,5 kHz,Off,"Pottstown",
73,442.80000,447.80000,5.00 MHz,Plus,FM,K3TU,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Philadelphia",
74,442.90000,447.90000,5.00 MHz,Plus,FM,W3HJ,Small,Tone,123.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Hilltown",
75,443.15000,448.15000,5.00 MHz,Plus,FM,WA3UTI,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Meadowbrook",
76,443.20000,448.20000,5.00 MHz,Plus,FM,WA3KEY,Small,Tone,114.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Quakertown",
77,443.55000,448.55000,5.00 MHz,Plus,FM,K3ZMC,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Earlville",
78,443.80000,448.80000,5.00 MHz,Plus,FM,N3KZ,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Valley Forge Schuylkill Township",
79,443.95000,448.95000,5.00 MHz,Plus,FM,K3DN,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Hilltown",
80,444.05000,449.05000,5.00 MHz,Plus,FM,W3UER,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Darby Mercy Fitzgerald Hospital",
81,444.20000,449.20000,5.00 MHz,Plus,FM,W3BXW,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Falls Township / Oxford Valley",
82,444.30000,449.30000,5.00 MHz,Plus,FM,WB3EHB,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Camden",
83,444.40000,449.40000,5.00 MHz,Plus,FM,W3CER,Small,T Sql,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Wilmington Wilmington Hospital",
84,444.55000,449.55000,5.00 MHz,Plus,FM,WA3TSW,Small,Tone,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Horsham Horsham Township",
85,444.70000,449.70000,5.00 MHz,Plus,FM,KM3W,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Chester",
86,444.75000,449.75000,5.00 MHz,Plus,FM,W3AI,Small,T Sql,103.5 Hz,023,300 Hz,High,Off,5 kHz,Off,"Sellersville",
87,444.90000,449.90000,5.00 MHz,Plus,FM,K3RJC,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Cherry Hill",
88,444.95000,449.95000,5.00 MHz,Plus,FM,W3CER,Small,T Sql,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Newark Christiana Hospital",
89,446.17500,441.17500,5.00 MHz,Minus,FM,W3EOC,Small,Tone,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Bucktown South Coventry Township",
90,446.52500,441.52500,5.00 MHz,Minus,FM,W3EOC,Small,T Sql,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"West Chester",
91,446.77500,441.77500,5.00 MHz,Minus,FM,W3KG,Small,T Sql,88.5 Hz,023,300 Hz,High,Off,5 kHz,Off,"Boothwyn",
92,446.87500,441.87500,5.00 MHz,Minus,FM,KD3WT,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Philadelphia",
93,447.07500,442.07500,5.00 MHz,Minus,FM,AA3VI,Small,T Sql,123.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Thorndale Caln Township",
94,447.77500,442.77500,5.00 MHz,Minus,FM,NJ2GC,Small,Tone,146.2 Hz,023,300 Hz,High,Off,5 kHz,Off,"Gloucester City",
95,447.97500,442.97500,5.00 MHz,Minus,FM,KB3AJF,Small,Tone,127.3 Hz,023,300 Hz,High,Off,5 kHz,Off,"Plumsteadville Plumstead Township",
96,448.02500,443.02500,5.00 MHz,Minus,FM,N2HQX,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Camden",
97,448.22500,443.22500,5.00 MHz,Minus,FM,W3SK,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Southampton",
98,448.37500,443.37500,5.00 MHz,Minus,FM,W3DRA,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Wilmington",
99,448.67500,443.67500,5.00 MHz,Minus,FM,N3CB,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Norristown",
100,448.82500,443.82500,5.00 MHz,Minus,FM,N3JLH,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Delaware City",
101,448.97500,443.97500,5.00 MHz,Minus,FM,KB3DRX,Small,Tone,107.2 Hz,023,300 Hz,High,Off,5 kHz,Off,"New London Township",
102,449.12500,444.12500,5.00 MHz,Minus,FM,AA3E,Small,Tone,88.5 Hz,023,300 Hz,High,Off,5 kHz,Off,"Eagleville",
103,449.47500,444.47500,5.00 MHz,Minus,FM,AA3TL,Small,Tone,103.5 Hz,023,300 Hz,High,Off,5 kHz,Off,"White Bear",
104,449.67500,444.67500,5.00 MHz,Minus,FM,WB3LGG,Small,T Sql,94.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Cochranville",
105,449.72500,444.72500,5.00 MHz,Minus,FM,N3EXA,Small,Tone,136.5 Hz,023,300 Hz,High,Off,5 kHz,Off,"Plumstead",
106,449.92500,444.92500,5.00 MHz,Minus,FM,K3CX,Small,T Sql,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Eagleville",
107,449.97500,444.97500,5.00 MHz,Minus,FM,N3UXQ,Small,T Sql,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Yeadon",
108,146.76000,146.16000,600 kHz,Minus,FM,K7QEQ,Small,Tone,88.5 Hz,023,300 Hz,High,Off,5 kHz,Off,"Moab",
109,146.90000,146.30000,600 kHz,Minus,FM,K7QEQ,Small,Tone,88.5 Hz,023,300 Hz,High,Off,5 kHz,Off,"Moab Downtown Rpt",
110,449.10000,444.10000,5.00 MHz,Minus,FM,K7QEQ,Small,Tone,107.2 Hz,023,300 Hz,High,Off,5 kHz,Off,"Moab,
111,449.70000,444.70000,5.00 MHz,Minus,FM,KB0YNA,Small,Tone,107.2 Hz,023,300 Hz,High,Off,5 kHz,Off,"Grey Head",
112,147.27000,147.87000,600 kHz,Plus,FM,KB5ITS,Small,Tone,127.3 Hz,023,300 Hz,High,Off,5 kHz,Off,"Engineer Mountain",
113,145.32500,144.72500,600 kHz,Minus,FM,KB5ITS,Small,Tone,127.3 Hz,023,300 Hz,High,Off,5 kHz,Off,"Buffalo Boy",
114,444.00000,449.00000,5.00 MHz,Plus,FM,KB5ITS,Small,Tone,67.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Hazelton",
115,447.52500,442.52500,5.00 MHz,Minus,FM,KB5ITS,Small,Tone,127.3 Hz,023,300 Hz,High,Off,5 kHz,Off,"Silverton",
116,147.37500,147.97500,600 kHz,Plus,FM,KB5ITS,Small,Tone,156.7 Hz,023,300 Hz,High,Off,5 kHz,Off,"Kendall Mountain",
117,147.27000,147.87000,600 kHz,Plus,FM,KB5ITS,Small,Tone,127.3 Hz,023,300 Hz,High,Off,5 kHz,Off,"Engineer Mountain",
118,447.80000,442.80000,5.00 MHz,Minus,FM,KB5ITS,Small,Tone,141.3 Hz,023,300 Hz,High,Off,5 kHz,Off,"Log Hill",
119,449.40000,444.40000,5.00 MHz,Minus,FM,KB0YNA,Small,Tone,131.8 Hz,023,300 Hz,High,Off,5 kHz,Off,"Uncompahgre Butte",
120,146.80500,146.20500,600 kHz,Minus,FM,KA6GWY,Small,Tone,123.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Placerville",
121,145.35000,146.20500, ,Split,FM,KA6GWY,Small,Tone,123.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Tahoe Basin",
122,146.80500,146.80500, ,Simplex,FM,KA6GWY,Small,None,100.0 Hz,023,300 Hz,High,Off,5 kHz,Off,"Tahoe Basin",
123,444.98750,449.98750,5.00 MHz,Plus,FM,KA6GWY,Small,Tone,156.7 Hz,023,300 Hz,High,Off,5 kHz,Off,"Spider Lake",
124,444.98750,444.98750, ,Simplex,FM,KA6GWY,Small,Tone,107.2 Hz,023,300 Hz,High,Off,5 kHz,Off,"Spider Lake (output only)",
